"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
316,"EAT","Brinker International, Inc","Consumer Cyclical","Restaurants","USA",6272.12,14.54,144.02,3.85%,1349787
317,"EBC","Eastern Bankshares Inc","Financial","Banks - Regional","USA",4408.84,46.12,18.79,-0.37%,1003779
318,"ECG","Everus Construction Group","Industrials","Engineering & Construction","USA",5743.36,28.53,112.60,-0.29%,449137
319,"EDU","New Oriental Education & Technology Group Inc. ADR","Consumer Defensive","Education & Training Services","China",8809.36,22.69,53.87,0.73%,372542
320,"EE","Excelerate Energy Inc","Energy","Oil & Gas Midstream","USA",3833.79,25.64,33.61,-1.29%,328646
321,"EEFT","Euronet Worldwide Inc","Technology","Software - Infrastructure","USA",2797.59,10.23,71.13,-1.84%,479498
322,"EFXT","Enerflex Ltd","Energy","Oil & Gas Equipment & Services","Canada",2549.27,40.77,20.93,-0.48%,250337
323,"EGO","Eldorado Gold Corp","Basic Materials","Gold","Canada",7301.42,14.73,36.77,-5.28%,1945377
324,"EHC","Encompass Health Corp","Healthcare","Medical Care Facilities","USA",9978.40,18.11,100.37,0.07%,886898
325,"ELF","e.l.f. Beauty Inc","Consumer Defensive","Household & Personal Products","USA",4335.03,41.49,73.41,1.14%,3013208
326,"ELPC","Cia Paranaense De Energia Copel ADR","Utilities","Utilities - Diversified","Brazil",7900.41,16.36,10.64,-1.57%,194736
327,"EMAT","Evolution Metals & Technologies Corp","Basic Materials","Other Industrial Metals & Mining","USA",4628.13,,7.80,-1.89%,87245
328,"EMN","Eastman Chemical Co","Basic Materials","Specialty Chemicals","USA",7901.24,16.94,69.25,-1.90%,1626949
329,"ENIC","Enel Chile S.A. ADR","Utilities","Utilities - Regulated Electric","Chile",5491.82,10.19,3.97,0.51%,607967
330,"ENLT","Enlight Renewable Energy Ltd","Utilities","Utilities - Renewable","Israel",9739.58,68.26,70.18,1.81%,92483
331,"ENPH","Enphase Energy Inc","Technology","Solar","USA",5777.52,34.14,44.07,3.45%,4072138
